Innings,Over,Ball,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,review_by,review_umpire,review_batter,review_decision,extras_wides,Wicket,Player_Out,extras_legbyes,extras_noballs
2,0,1,JJ Roy,TA Boult,Abhishek Sharma,0,0,0,,,,,,,,,
2,0,2,JJ Roy,TA Boult,Abhishek Sharma,0,0,0,,,,,,,,,
2,0,3,JJ Roy,TA Boult,Abhishek Sharma,2,0,2,,,,,,,,,
2,0,4,JJ Roy,TA Boult,Abhishek Sharma,1,0,1,,,,,,,,,
2,0,5,Abhishek Sharma,TA Boult,JJ Roy,0,0,0,Mumbai Indians,Tapan Sharma,Abhishek Sharma,struck down,,,,,
2,0,6,Abhishek Sharma,TA Boult,JJ Roy,2,0,2,,,,,,,,,
2,1,1,JJ Roy,JJ Bumrah,Abhishek Sharma,1,0,1,,,,,,,,,
2,1,2,Abhishek Sharma,JJ Bumrah,JJ Roy,1,0,1,,,,,,,,,
2,1,3,JJ Roy,JJ Bumrah,Abhishek Sharma,4,0,4,,,,,,,,,
2,1,4,JJ Roy,JJ Bumrah,Abhishek Sharma,0,0,0,,,,,,,,,
2,1,5,JJ Roy,JJ Bumrah,Abhishek Sharma,4,0,4,,,,,,,,,
2,1,6,JJ Roy,JJ Bumrah,Abhishek Sharma,0,0,0,,,,,,,,,
2,2,1,Abhishek Sharma,PP Chawla,JJ Roy,1,0,1,,,,,,,,,
2,2,2,JJ Roy,PP Chawla,Abhishek Sharma,4,0,4,,,,,,,,,
2,2,3,JJ Roy,PP Chawla,Abhishek Sharma,4,0,4,,,,,,,,,
2,2,4,JJ Roy,PP Chawla,Abhishek Sharma,0,0,0,,,,,,,,,
2,2,5,JJ Roy,PP Chawla,Abhishek Sharma,1,0,1,,,,,,,,,
2,2,6,Abhishek Sharma,PP Chawla,JJ Roy,6,0,6,,,,,,,,,
2,3,1,JJ Roy,JJ Bumrah,Abhishek Sharma,3,0,3,,,,,,,,,
2,3,2,Abhishek Sharma,JJ Bumrah,JJ Roy,1,0,1,,,,,,,,,
2,3,3,JJ Roy,JJ Bumrah,Abhishek Sharma,0,0,0,,,,,,,,,
2,3,4,JJ Roy,JJ Bumrah,Abhishek Sharma,0,5,5,,,,,5.0,,,,
2,3,5,JJ Roy,JJ Bumrah,Abhishek Sharma,4,0,4,,,,,,,,,
2,3,6,JJ Roy,JJ Bumrah,Abhishek Sharma,1,0,1,,,,,,,,,
2,3,7,Abhishek Sharma,JJ Bumrah,JJ Roy,2,0,2,,,,,,,,,
2,4,1,JJ Roy,NM Coulter-Nile,Abhishek Sharma,0,0,0,,,,,,,,,
2,4,2,JJ Roy,NM Coulter-Nile,Abhishek Sharma,1,0,1,,,,,,,,,
2,4,3,Abhishek Sharma,NM Coulter-Nile,JJ Roy,4,0,4,,,,,,,,,
2,4,4,Abhishek Sharma,NM Coulter-Nile,JJ Roy,4,0,4,,,,,,,,,
2,4,5,Abhishek Sharma,NM Coulter-Nile,JJ Roy,4,0,4,,,,,,,,,
2,4,6,Abhishek Sharma,NM Coulter-Nile,JJ Roy,0,0,0,,,,,,,,,
2,5,1,JJ Roy,TA Boult,Abhishek Sharma,4,0,4,,,,,,,,,
2,5,2,JJ Roy,TA Boult,Abhishek Sharma,0,0,0,,,,,,1.0,JJ Roy,,
2,5,3,Abhishek Sharma,TA Boult,MK Pandey,1,0,1,,,,,,,,,
2,5,4,MK Pandey,TA Boult,Abhishek Sharma,0,0,0,,,,,,,,,
2,5,5,MK Pandey,TA Boult,Abhishek Sharma,1,0,1,,,,,,,,,
2,5,6,Abhishek Sharma,TA Boult,MK Pandey,4,0,4,,,,,,,,,
2,6,1,MK Pandey,JDS Neesham,Abhishek Sharma,0,1,1,,,,,,,,1.0,
2,6,2,Abhishek Sharma,JDS Neesham,MK Pandey,1,0,1,,,,,,,,,
2,6,3,MK Pandey,JDS Neesham,Abhishek Sharma,4,0,4,,,,,,,,,
2,6,4,MK Pandey,JDS Neesham,Abhishek Sharma,1,0,1,,,,,,,,,
2,6,5,Abhishek Sharma,JDS Neesham,MK Pandey,2,0,2,,,,,,,,,
2,6,6,Abhishek Sharma,JDS Neesham,MK Pandey,0,0,0,,,,,,1.0,Abhishek Sharma,,
2,7,1,Mohammad Nabi,KH Pandya,MK Pandey,1,0,1,,,,,,,,,
2,7,2,MK Pandey,KH Pandya,Mohammad Nabi,1,0,1,,,,,,,,,
2,7,3,Mohammad Nabi,KH Pandya,MK Pandey,1,0,1,,,,,,,,,
2,7,4,MK Pandey,KH Pandya,Mohammad Nabi,6,1,7,,,,,,,,,1.0
