Innings,Over,Ball,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,extras_wides,Wicket,Player_Out,review_by,review_umpire,review_batter,review_decision,extras_byes,extras_legbyes
1,0,1,RG Sharma,Mohammad Nabi,Ishan Kishan,1,0,1,,,,,,,,,
1,0,2,Ishan Kishan,Mohammad Nabi,RG Sharma,6,0,6,,,,,,,,,
1,0,3,Ishan Kishan,Mohammad Nabi,RG Sharma,0,0,0,,,,,,,,,
1,0,4,Ishan Kishan,Mohammad Nabi,RG Sharma,1,0,1,,,,,,,,,
1,0,5,RG Sharma,Mohammad Nabi,Ishan Kishan,0,0,0,,,,,,,,,
1,0,6,RG Sharma,Mohammad Nabi,Ishan Kishan,0,0,0,,,,,,,,,
1,1,1,Ishan Kishan,S Kaul,RG Sharma,0,0,0,,,,,,,,,
1,1,2,Ishan Kishan,S Kaul,RG Sharma,4,0,4,,,,,,,,,
1,1,3,Ishan Kishan,S Kaul,RG Sharma,4,0,4,,,,,,,,,
1,1,4,Ishan Kishan,S Kaul,RG Sharma,4,0,4,,,,,,,,,
1,1,5,Ishan Kishan,S Kaul,RG Sharma,4,0,4,,,,,,,,,
1,1,6,Ishan Kishan,S Kaul,RG Sharma,2,0,2,,,,,,,,,
1,2,1,RG Sharma,Mohammad Nabi,Ishan Kishan,4,0,4,,,,,,,,,
1,2,2,RG Sharma,Mohammad Nabi,Ishan Kishan,1,0,1,,,,,,,,,
1,2,3,Ishan Kishan,Mohammad Nabi,RG Sharma,4,0,4,,,,,,,,,
1,2,4,Ishan Kishan,Mohammad Nabi,RG Sharma,1,0,1,,,,,,,,,
1,2,5,RG Sharma,Mohammad Nabi,Ishan Kishan,1,0,1,,,,,,,,,
1,2,6,Ishan Kishan,Mohammad Nabi,RG Sharma,4,0,4,,,,,,,,,
1,3,1,RG Sharma,JO Holder,Ishan Kishan,4,0,4,,,,,,,,,
1,3,2,RG Sharma,JO Holder,Ishan Kishan,1,0,1,,,,,,,,,
1,3,3,Ishan Kishan,JO Holder,RG Sharma,2,0,2,,,,,,,,,
1,3,4,Ishan Kishan,JO Holder,RG Sharma,6,0,6,,,,,,,,,
1,3,5,Ishan Kishan,JO Holder,RG Sharma,0,1,1,1.0,,,,,,,,
1,3,6,Ishan Kishan,JO Holder,RG Sharma,4,0,4,,,,,,,,,
1,3,7,Ishan Kishan,JO Holder,RG Sharma,4,0,4,,,,,,,,,
1,4,1,RG Sharma,Umran Malik,Ishan Kishan,0,0,0,,,,,,,,,
1,4,2,RG Sharma,Umran Malik,Ishan Kishan,4,0,4,,,,,,,,,
1,4,3,RG Sharma,Umran Malik,Ishan Kishan,1,0,1,,,,,,,,,
1,4,4,Ishan Kishan,Umran Malik,RG Sharma,4,0,4,,,,,,,,,
1,4,5,Ishan Kishan,Umran Malik,RG Sharma,2,0,2,,,,,,,,,
1,4,6,Ishan Kishan,Umran Malik,RG Sharma,4,0,4,,,,,,,,,
