Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Ball Rebowled,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Runs to Get,Balls Remaining,Winner,Chased Successfully,Total Batter Runs,Total Non Striker Runs,Batter Balls Faced,Non Striker Balls Faced,Player Out Runs,Player Out Balls Faced,Bowler Runs Conceded,Valid Ball
,,,,,1,1,1,RG Sharma,Ishan Kishan,Mohammad Nabi,1,0,1,,,0,,,1,0,,,119,,,,,,,,,,
,,,,,1,1,2,Ishan Kishan,RG Sharma,Mohammad Nabi,6,0,6,,,0,,,7,0,,,118,,,,,,,,,,
,,,,,1,1,3,Ishan Kishan,RG Sharma,Mohammad Nabi,0,0,0,,,0,,,7,0,,,117,,,,,,,,,,
,,,,,1,1,4,Ishan Kishan,RG Sharma,Mohammad Nabi,1,0,1,,,0,,,8,0,,,116,,,,,,,,,,
,,,,,1,1,5,RG Sharma,Ishan Kishan,Mohammad Nabi,0,0,0,,,0,,,8,0,,,115,,,,,,,,,,
,,,,,1,1,6,RG Sharma,Ishan Kishan,Mohammad Nabi,0,0,0,,,0,,,8,0,,,114,,,,,,,,,,
,,,,,1,2,1,Ishan Kishan,RG Sharma,S Kaul,0,0,0,,,0,,,8,0,,,113,,,,,,,,,,
,,,,,1,2,2,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,12,0,,,112,,,,,,,,,,
,,,,,1,2,3,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,16,0,,,111,,,,,,,,,,
,,,,,1,2,4,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,20,0,,,110,,,,,,,,,,
,,,,,1,2,5,Ishan Kishan,RG Sharma,S Kaul,4,0,4,,,0,,,24,0,,,109,,,,,,,,,,
,,,,,1,2,6,Ishan Kishan,RG Sharma,S Kaul,2,0,2,,,0,,,26,0,,,108,,,,,,,,,,
,,,,,1,3,1,RG Sharma,Ishan Kishan,Mohammad Nabi,4,0,4,,,0,,,30,0,,,107,,,,,,,,,,
,,,,,1,3,2,RG Sharma,Ishan Kishan,Mohammad Nabi,1,0,1,,,0,,,31,0,,,106,,,,,,,,,,
,,,,,1,3,3,Ishan Kishan,RG Sharma,Mohammad Nabi,4,0,4,,,0,,,35,0,,,105,,,,,,,,,,
,,,,,1,3,4,Ishan Kishan,RG Sharma,Mohammad Nabi,1,0,1,,,0,,,36,0,,,104,,,,,,,,,,
